"","Name","Team","Gm","season","Age","Salary","AAV","Date","Sv%","AdSv%","SA60","TOI","Sv%L","Sv%M","Sv%H","G","S","Sh","G.L","S.L","G.M","S.M","G.H","S.H"
"yorkxal89-2011201220116","Allen.York","CBJ",1,20112012,22,"0.688","0.713","2011-10-25",NA,NA,0,2.5,NA,NA,NA,0,0,0,0,0,0,0,0,0
"weekeke75-2007200821118","Kevin.Weekes","N.J",1,20072008,32,"0.675","0.688","2008-03-21",NA,NA,0,2,NA,NA,NA,0,0,0,0,0,0,0,0,0
"weekeke75-2006200720829","Kevin.Weekes","NYR",1,20062007,31,"2.000","NA","2007-02-09",NA,NA,0,0.3,NA,NA,NA,0,0,0,0,0,0,0,0,0
"weekeke75-2006200720304","Kevin.Weekes","NYR",1,20062007,31,"2.000","NA","2006-11-21",NA,NA,0,0.3,NA,NA,NA,0,0,0,0,0,0,0,0,0
"weekeke75-2006200720039","Kevin.Weekes","NYR",1,20062007,31,"2.000","NA","2006-10-10",NA,NA,0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0
"weekeke75-2006200720021","Kevin.Weekes","NYR",1,20062007,31,"2.000","NA","2006-10-07",NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
"weekeke75-2006200720005","Kevin.Weekes","NYR",1,20062007,31,"2.000","NA","2006-10-05",NA,NA,0,0.3,NA,NA,NA,0,0,0,0,0,0,0,0,0
"weekeke75-2005200620758","Kevin.Weekes","NYR",1,20052006,30,"1.900","NA","2006-01-28",NA,NA,0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0
"wardxca84-2006200720527","Cam.Ward","CAR",1,20062007,22,"0.684","NA","2006-12-23",NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
"wardxca84-2005200621090","Cam.Ward","CAR",1,20052006,21,"0.684","NA","2006-03-31",NA,NA,0,0.3,NA,NA,NA,0,0,0,0,0,0,0,0,0
"wardxca84-2005200620968","Cam.Ward","CAR",1,20052006,21,"0.684","NA","2006-03-14",NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
"wardxca84-2005200620837","Cam.Ward","CAR",1,20052006,21,"0.684","NA","2006-02-09",NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
