"","Player","Date","Team","TOI","SA","GA","LDSA","LDGA","MDSA","MDGA","HDSA","HDGA","xGA","FA","SA60","Sv%","LDSv%","MDSv%","HDSv%","GSAA","FA60","FSv%","xGA60","xFSv%","Adj.FSv%"
"1","AARON.DELL","2017-04-08","S.J",48.61,17,1,8,0,4,0,5,1,1.55,21,20.98,94.12,100,100,80,0.51,25.92,95.24,1.91,92.61,2.62
"2","AARON.DELL","2017-03-31","S.J",16.15,11,0,8,0,2,0,1,0,0.66,14,40.87,100,100,100,100,0.54,52.01,100,2.45,95.3,4.7
"3","AARON.DELL","2017-03-24","S.J",51.13,24,5,4,0,12,2,8,3,2.92,30,28.16,79.17,100,83.33,62.5,-2.36,35.2,83.33,3.43,90.26,-6.92
"4","AARON.DELL","2017-03-20","S.J",48.8,18,1,8,0,6,1,4,0,1.72,29,22.13,94.44,100,83.33,100,0.46,35.66,96.55,2.11,94.08,2.47
"5","AARON.DELL","2017-03-16","S.J",55.36,32,2,19,0,9,2,4,0,1.46,41,34.68,93.75,100,77.78,100,-0.05,44.44,95.12,1.59,96.43,-1.31
"6","AARON.DELL","2017-03-12","S.J",46.44,25,1,14,0,5,0,6,1,2.39,41,32.3,96,100,100,83.33,0.92,52.97,97.56,3.09,94.17,3.39
"7","AARON.DELL","2017-03-06","S.J",44.4,27,1,15,0,8,1,4,0,1.87,36,36.49,96.3,100,87.5,100,0.78,48.65,97.22,2.52,94.81,2.41
"8","AARON.DELL","2017-03-02","S.J",48.56,10,0,4,0,5,0,1,0,1.12,17,12.36,100,100,100,100,0.68,21,100,1.39,93.39,6.61
"9","AARON.DELL","2017-02-18","S.J",57.69,37,1,25,0,6,0,6,1,1.98,53,38.48,97.3,100,100,83.33,1.26,55.12,98.11,2.06,96.26,1.86
"10","AARON.DELL","2017-02-11","S.J",47.98,25,1,9,0,6,0,10,1,2.8,43,31.26,96,100,100,90,1.69,53.77,97.67,3.5,93.5,4.18
"11","AARON.DELL","2017-02-09","S.J",30.29,16,1,8,0,5,0,3,1,0.99,21,31.69,93.75,100,100,66.67,0.18,41.6,95.24,1.95,95.3,-0.07
"12","AARON.DELL","2017-01-24","S.J",51.37,31,3,0,0,31,3,0,0,3.05,46,36.21,90.32,NA,90.32,NA,-0.59,53.73,93.48,3.57,93.36,0.12
"13","AARON.DELL","2017-01-19","S.J",49.4,21,0,0,0,21,0,0,0,2.26,34,25.51,100,NA,100,NA,1.63,41.3,100,2.74,93.36,6.64
"14","AARON.DELL","2017-01-11","S.J",52.82,26,2,10,1,8,0,8,1,2.64,31,29.53,92.31,90,100,87.5,0.47,35.21,93.55,3,91.49,2.05
"15","AARON.DELL","2016-12-30","S.J",48.13,17,0,9,0,5,0,3,0,1.18,22,21.19,100,100,100,100,1.2,27.43,100,1.47,94.63,5.37
"16","AARON.DELL","2016-12-10","S.J",52.56,23,0,6,0,8,0,9,0,2.51,34,26.26,100,100,100,100,2.58,38.81,100,2.87,92.61,7.39
"17","AARON.DELL","2016-11-25","S.J",56.47,26,0,11,0,9,0,6,0,2.19,40,27.63,100,100,100,100,2.17,42.5,100,2.33,94.52,5.48
"18","AARON.DELL","2016-11-15","S.J",53.75,32,1,13,0,8,0,11,1,3.33,42,35.72,96.88,100,100,90.91,2.14,46.88,97.62,3.71,92.08,5.54
"19","AARON.DELL","2016-11-05","S.J",28.28,10,1,3,0,5,1,2,0,0.88,16,21.22,90,100,80,100,-0.14,33.95,93.75,1.86,94.51,-0.76
"20","AARON.DELL","2016-10-18","S.J",54.48,21,2,13,0,5,0,3,2,1.48,29,23.13,90.48,100,100,33.33,-0.71,31.94,93.1,1.63,94.88,-1.78
"21","ALEX.NEDELJKOVIC","2017-01-17","CAR",19.5,16,0,0,0,16,0,0,0,1.39,21,49.23,100,NA,100,NA,1.24,64.62,100,4.29,93.36,6.64
"22","ALEX.STALOCK","2017-04-01","MIN",52.37,29,2,12,0,10,1,7,1,2.24,37,33.23,93.1,100,90,85.71,0.47,42.39,94.59,2.57,93.95,0.65
"23","ALEX.STALOCK","2017-03-30","MIN",46.9,13,1,8,0,3,1,2,0,0.89,21,16.63,92.31,100,66.67,100,-0.18,26.87,95.24,1.14,95.77,-0.53
"24","ALEX.STALOCK","2016-02-11","S.J",37.87,13,3,4,0,4,1,5,2,1.31,17,20.6,76.92,100,75,60,-1.59,26.93,82.35,2.07,92.31,-9.95
"25","ALEX.STALOCK","2016-01-18","S.J",57.42,14,1,7,0,4,1,3,0,1.17,24,14.63,92.86,100,75,100,0.08,25.08,95.83,1.22,95.14,0.69
"26","ALEX.STALOCK","2016-01-12","S.J",39.47,14,0,6,0,4,0,4,0,0.88,17,21.28,100,100,100,100,1.26,25.84,100,1.33,94.84,5.16
"27","ALEX.STALOCK","2016-01-02","S.J",15.02,5,0,3,0,2,0,0,0,0.25,7,19.97,100,100,100,NA,0.22,27.96,100,1.01,96.39,3.61
"28","ALEX.STALOCK","2015-12-18","S.J",46.53,29,4,17,1,8,2,4,1,1.79,32,37.4,86.21,94.12,75,75,-2.18,41.26,87.5,2.3,94.42,-6.92
"29","ALEX.STALOCK","2015-12-08","S.J",22.72,8,1,2,0,5,1,1,0,0.75,13,21.13,87.5,100,80,100,-0.36,34.33,92.31,1.97,94.26,-1.95
"30","ALEX.STALOCK","2015-12-05","S.J",38.84,15,3,7,0,4,0,4,3,1.19,19,23.17,80,100,100,25,-1.72,29.35,84.21,1.84,93.74,-9.53
"31","ALEX.STALOCK","2015-11-22","S.J",48.45,27,3,12,0,5,0,10,3,2.43,30,33.44,88.89,100,100,70,-0.31,37.15,90,3.01,91.91,-1.91
"32","ALEX.STALOCK","2015-11-10","S.J",44.68,17,1,13,1,4,0,0,0,0.38,19,22.83,94.12,92.31,100,NA,-0.39,25.51,94.74,0.51,97.99,-3.25
"33","ALEX.STALOCK","2015-11-05","S.J",50.03,25,1,11,0,11,1,3,0,1.56,35,29.98,96,100,90.91,100,0.72,41.97,97.14,1.87,95.54,1.6
"34","ALEX.STALOCK","2015-11-03","S.J",16.4,2,0,1,0,1,0,0,0,0.2,3,7.32,100,100,100,NA,0.1,10.98,100,0.71,93.5,6.5
"35","ALEX.STALOCK","2015-10-31","S.J",44.53,20,3,6,1,5,0,9,2,2.16,33,26.95,85,83.33,100,77.78,-0.65,44.46,90.91,2.91,93.46,-2.55
"36","ALEX.STALOCK","2015-10-17","S.J",50.86,27,4,6,1,14,1,7,2,2.96,37,31.85,85.19,83.33,92.86,71.43,-1.36,43.65,89.19,3.5,91.99,-2.8
