playerid,Name,Team,Gm,season,Age,Salary,AAV,Date,Sv%,AdSv%,SA60,TOI,Sv%L,Sv%M,Sv%H,G,S,Sh,G.L,S.L,G.M,S.M,G.H,S.H
valiqst77-2006200730131,Stephen.Valiquette,NYR,1,20062007,29,0.6,NA,4/12/07,NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
thibajo75-2006200730142,Jocelyn.Thibault,PIT,1,20062007,31,1.5,NA,4/14/07,NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
thibajo75-2006200730141,Jocelyn.Thibault,PIT,1,20062007,31,1.5,NA,4/11/07,NA,NA,0,0.6,NA,NA,NA,0,0,0,0,0,0,0,0,0
sabouda80-2006200730241,Dany.Sabourin,VAN,1,20062007,26,0.45,NA,4/25/07,NA,NA,0,2.6,NA,NA,NA,0,0,0,0,0,0,0,0,0
ramoxka86-2006200730122,Karri.Ramo,T.B,1,20062007,20,0.6,0.658,4/14/07,NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
poulike90-2012201330115,Kevin.Poulin,NYI,1,20122013,22,0.613,0.604,5/9/13,NA,NA,0,8.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
osgooch72-2006200730325,Chris.Osgood,DET,1,20062007,33,0.9,NA,5/20/07,NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
osgooch72-2006200730324,Chris.Osgood,DET,1,20062007,33,0.9,NA,5/17/07,NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
osgooch72-2006200730323,Chris.Osgood,DET,1,20062007,33,0.9,NA,5/15/07,NA,NA,0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0
osgooch72-2006200730322,Chris.Osgood,DET,1,20062007,33,0.9,NA,5/13/07,NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
osgooch72-2006200730236,Chris.Osgood,DET,1,20062007,33,0.9,NA,5/7/07,NA,NA,0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0
osgooch72-2006200730235,Chris.Osgood,DET,1,20062007,33,0.9,NA,5/5/07,NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
osgooch72-2006200730154,Chris.Osgood,DET,1,20062007,33,0.9,NA,4/19/07,NA,NA,0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0
osgooch72-2006200730153,Chris.Osgood,DET,1,20062007,33,0.9,NA,4/17/07,NA,NA,0,0.3,NA,NA,NA,0,0,0,0,0,0,0,0,0
osgooch72-2006200730152,Chris.Osgood,DET,1,20062007,33,0.9,NA,4/15/07,NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
niittan80-2005200630144,Antero.Niittymaki,PHI,1,20052006,25,0.45,NA,4/28/06,NA,NA,0,0.3,NA,NA,NA,0,0,0,0,0,0,0,0,0
nabokev75-2005200630235,Evgeni.Nabokov,S.J,1,20052006,30,3.363,3.363,5/14/06,NA,NA,0,0.3,NA,NA,NA,0,0,0,0,0,0,0,0,0
masonch76-2006200730181,Chris.Mason,NSH,1,20062007,30,1.25,NA,4/11/07,NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
markkju75-2005200630325,Jussi.Markkanen,EDM,1,20052006,30,0.85,NA,5/27/06,NA,NA,0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0
markkju75-2005200630153,Jussi.Markkanen,EDM,1,20052006,30,0.85,NA,4/25/06,NA,NA,0,0.4,NA,NA,NA,0,0,0,0,0,0,0,0,0
jonesma90-2013201430244,Martin.Jones,L.A,1,20132014,23,0.55,0.55,5/10/14,NA,NA,0,30,NA,NA,NA,0,0,0,0,0,0,0,0,0
huttoca85-2015201630241,Carter.Hutton,NSH,1,20152016,29,0.75,0.725,4/10/16,NA,NA,0,0.8,NA,NA,NA,0,0,0,0,0,0,0,0,0
hedbejo73-2005200630165,Johan.Hedberg,DAL,1,20052006,32,0.6,NA,4/30/06,NA,NA,0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0
hedbejo73-2005200630163,Johan.Hedberg,DAL,1,20052006,32,0.6,NA,4/26/06,NA,NA,0,0.3,NA,NA,NA,0,0,0,0,0,0,0,0,0
hedbejo73-2005200630161,Johan.Hedberg,DAL,1,20052006,32,0.6,NA,4/22/06,NA,NA,0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0
hardijo84-2006200730164,Josh.Harding,MIN,1,20062007,22,0.456,NA,4/17/07,NA,NA,0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0
gigueje77-2006200730164,Jean-Sebastien.Giguere,ANA,1,20062007,29,3.99,NA,4/17/07,NA,NA,0,1.8,NA,NA,NA,0,0,0,0,0,0,0,0,0
gigueje77-2005200630323,Jean-Sebastien.Giguere,ANA,1,20052006,28,3.99,NA,5/23/06,NA,NA,0,0.3,NA,NA,NA,0,0,0,0,0,0,0,0,0
gigueje77-2005200630243,Jean-Sebastien.Giguere,ANA,1,20052006,28,3.99,NA,5/9/06,NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
gigueje77-2005200630177,Jean-Sebastien.Giguere,ANA,1,20052006,28,3.99,NA,5/3/06,NA,NA,0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0
gerbema74-2006200730141,Martin.Gerber,OTT,1,20062007,32,3.7,3.7,4/11/07,NA,NA,0,0.3,NA,NA,NA,0,0,0,0,0,0,0,0,0
gerbema74-2005200630225,Martin.Gerber,CAR,1,20052006,31,1.064,NA,5/14/06,NA,NA,0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0
dubiewa79-2006200730113,Wade.Dubielewicz,NYI,1,20062007,27,NA,NA,4/16/07,NA,NA,0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0
conklty76-2006200730311,Ty.Conklin,BUF,1,20062007,30,0.525,NA,5/10/07,NA,NA,0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0
conklty76-2005200630324,Ty.Conklin,EDM,1,20052006,29,1.14,NA,5/25/06,NA,NA,0,0.5,NA,NA,NA,0,0,0,0,0,0,0,0,0
conklty76-2005200630234,Ty.Conklin,EDM,1,20052006,29,1.14,NA,5/12/06,NA,NA,0,0.4,NA,NA,NA,0,0,0,0,0,0,0,0,0
clemmsc77-2005200630224,Scott.Clemmensen,N.J,1,20052006,28,0.45,NA,5/13/06,NA,NA,0,0.3,NA,NA,NA,0,0,0,0,0,0,0,0,0
burkese67-2005200630112,Sean.Burke,T.B,1,20052006,38,1.6,NA,4/23/06,NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
budajpe82-2009201030155,Peter.Budaj,COL,1,20092010,26,1.25,1.25,4/22/10,NA,NA,0,1.8,NA,NA,NA,0,0,0,0,0,0,0,0,0
bryzgil80-2006200730415,Ilya.Bryzgalov,ANA,1,20062007,26,1,NA,6/6/07,NA,NA,0,0.5,NA,NA,NA,0,0,0,0,0,0,0,0,0
bryzgil80-2006200730324,Ilya.Bryzgalov,ANA,1,20062007,26,1,NA,5/17/07,NA,NA,0,0.5,NA,NA,NA,0,0,0,0,0,0,0,0,0
bryzgil80-2006200730322,Ilya.Bryzgalov,ANA,1,20062007,26,1,NA,5/13/07,NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
bryzgil80-2006200730242,Ilya.Bryzgalov,ANA,1,20062007,26,1,NA,4/27/07,NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
bryzgil80-2005200630324,Ilya.Bryzgalov,ANA,1,20052006,25,0.456,NA,5/25/06,NA,NA,0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0
bouchbr77-2007200830242,Brian.Boucher,S.J,1,20072008,30,0.49,NA,4/27/08,NA,NA,0,1.4,NA,NA,NA,0,0,0,0,0,0,0,0,0
bironma77-2005200630315,Martin.Biron,BUF,1,20052006,28,2.128,NA,5/28/06,NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
bironma77-2005200630215,Martin.Biron,BUF,1,20052006,28,2.128,NA,5/13/06,NA,NA,0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0
bironma77-2005200630211,Martin.Biron,BUF,1,20052006,28,2.128,NA,5/5/06,NA,NA,0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0
bironma77-2005200630146,Martin.Biron,BUF,1,20052006,28,2.128,NA,5/2/06,NA,NA,0,0.3,NA,NA,NA,0,0,0,0,0,0,0,0,0
bironma77-2005200630142,Martin.Biron,BUF,1,20052006,28,2.128,NA,4/24/06,NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
berubje91-2015201630214,Jean-Francois.Berube,NYI,1,20152016,24,0.575,0.562,4/10/16,NA,NA,0,2.7,NA,NA,NA,0,0,0,0,0,0,0,0,0
backljo81-2009201030223,Johan.Backlund,PHI,1,20092010,28,0.8,0.8,5/5/10,NA,NA,0,0.4,NA,NA,NA,0,0,0,0,0,0,0,0,0
aebisda78-2005200630125,David.Aebischer,MTL,1,20052006,27,1.9,NA,4/30/06,NA,NA,0,0.3,NA,NA,NA,0,0,0,0,0,0,0,0,0
aebisda78-2005200630122,David.Aebischer,MTL,1,20052006,27,1.9,NA,4/24/06,NA,NA,0,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0
wardxca84-2008200930214,Cam.Ward,CAR,1,20082009,24,2.5,2.667,5/8/09,100,100,16.18,48.2,100,100,100,0,13,13,0,6,0,5,0,2
wardxca84-2008200930212,Cam.Ward,CAR,1,20082009,24,2.5,2.667,5/3/09,100,100,35.01,49.7,100,100,100,0,29,29,0,13,0,8,0,8
wardxca84-2008200930136,Cam.Ward,CAR,1,20082009,24,2.5,2.667,4/26/09,100,100,33.63,44.6,100,100,100,0,25,25,0,11,0,5,0,9
wardxca84-2008200930135,Cam.Ward,CAR,1,20082009,24,2.5,2.667,4/23/09,100,100,38.3,42.3,100,100,100,0,27,27,0,6,0,13,0,8
wardxca84-2008200930132,Cam.Ward,CAR,1,20082009,24,2.5,2.667,4/17/09,100,100,32.3,48.3,100,100,100,0,26,26,0,12,0,7,0,7
wardxca84-2005200630412,Cam.Ward,CAR,1,20052006,21,0.684,NA,6/7/06,100,100,33.8,28.4,100,100,100,0,16,16,0,6,0,5,0,5
wardxca84-2005200630315,Cam.Ward,CAR,1,20052006,21,0.684,NA,5/28/06,100,100,22.6,29.2,100,100,100,0,11,11,0,2,0,5,0,4
wardxca84-2005200630312,Cam.Ward,CAR,1,20052006,21,0.684,NA,5/22/06,100,100,19.78,36.4,100,100,100,0,12,12,0,5,0,4,0,3
wardxca84-2005200630221,Cam.Ward,CAR,1,20052006,21,0.684,NA,5/6/06,100,100,23.01,36.5,100,100,100,0,14,14,0,5,0,4,0,5
vokouto76-2012201330115,Tomas.Vokoun,PIT,1,20122013,36,2,2,5/9/13,100,100,32.93,49.2,100,100,100,0,27,27,0,10,0,11,0,6
vasilan94-2015201630311,Andrei.Vasilevskiy,T.B,1,20152016,21,0.925,0.925,4/10/16,100,100,23.26,38.7,100,100,100,0,15,15,0,7,0,5,0,3
