"","game_type","Team","Name","season","Date","TOI","svH","svM","svL","saH","saM","saL","G.H","G.M","G.L","la.svH","la.svM","la.svL","lgsaa","mgsaa","hgsaa","adjgsaa60","adjgsaa","Game.Number"
"1","playoff_game","S.J","Vesa.Toskala","20052006",2006-04-21,34.5,1,1,1,4,6,10,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.34849069885048,0.520717471015038,1.01846921706313,3.28291719465852,1.88767738692865,1
"2","playoff_game","DET","Manny.Legace","20052006",2006-04-21,55.6,1,1,1,3,5,7,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.243943489195336,0.433931225845865,0.763851912797349,1.55582010198405,1.44172662783855,1
"3","playoff_game","T.B","John.Grahame","20052006",2006-04-21,32.6,1,1,1,8,4,7,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.243943489195336,0.347144980676692,2.03693843412626,4.83685933251219,2.62802690399829,1
"4","playoff_game","OTT","Ray.Emery","20052006",2006-04-21,32.6,1,1,1,4,4,14,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.487886978390672,0.347144980676692,1.01846921706313,3.41135185790889,1.8535011761305,1
"5","playoff_game","CGY","Miikka.Kiprusoff","20052006",2006-04-21,43.6,0.5,1,1,1,9,11,1,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.383339768735528,0.781076206522557,-0.745382695734217,0.576651302097066,0.419033279523868,1
"6","playoff_game","EDM","Dwayne.Roloson","20052006",2006-04-21,55.6,0.8571,0.9231,1,7,13,18,1,1,0,0.745382695734217,0.913213754830827,0.965150930114952,0.627283257930864,0.128221187199249,0.782321129860481,1.65952400178841,1.53782557499059,1
"7","playoff_game","ANA","Ilya.Bryzgalov","20052006",2006-04-21,43.6,0.7143,1,1,5,7,7,2,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.243943489195336,0.607503716184211,-0.726913478671085,0.171376688130911,0.124533726708462,1
"8","playoff_game","NSH","Chris.Mason","20052006",2006-04-21,34.5,0.8333,0.8333,1,6,6,8,1,1,0,0.745382695734217,0.913213754830827,0.965150930114952,0.278792559080384,-0.479282528984962,0.527703825594698,0.569067575113252,0.32721385569012,1
"9","playoff_game","DAL","Johan.Hedberg","20052006",2006-04-22,0.1,NA,NA,NA,0,0,0,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0,0,0,0,0,1
"10","playoff_game","N.J","Martin.Brodeur","20052006",2006-04-22,25.1,1,1,1,4,2,8,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.278792559080384,0.173572490338346,1.01846921706313,3.51593848561401,1.47083426648186,1
"11","playoff_game","MTL","Cristobal.Huet","20052006",2006-04-22,40.6,0.9091,1,1,10,8,7,1,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.243943489195336,0.694289961353384,1.54617304265783,3.67153668946781,2.48440649320655,1
"12","playoff_game","BUF","Ryan.Miller","20052006",2006-04-22,50.2,0.6667,1,1,2,5,11,1,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.383339768735528,0.433931225845865,-0.490765391468434,0.390245740772461,0.326505603112959,1
"13","playoff_game","PHI","Robert.Esche","20052006",2006-04-22,50.2,0.9231,1,0.8889,12,9,9,1,0,1,0.745382695734217,0.913213754830827,0.965150930114952,-0.686358371034568,0.781076206522557,2.0554076511894,2.5698710996144,2.15012548667738,1
"14","playoff_game","NYR","Henrik.Lundqvist","20052006",2006-04-22,25.1,1,1,0.6667,2,3,3,0,0,1,0.745382695734217,0.913213754830827,0.965150930114952,-0.895452790344856,0.260358735507519,0.509234608531566,-0.300859234197062,-0.125859446305771,1
"15","playoff_game","DAL","Marty.Turco","20052006",2006-04-22,36.5,0.7143,0.8,1,6,5,6,2,1,0,0.745382695734217,0.913213754830827,0.965150930114952,0.209094419310288,-0.566068774154135,-0.472296174405302,-1.36318443164244,-0.829270529249149,1
"16","playoff_game","COL","Jose.Theodore","20052006",2006-04-22,36.5,0.75,0.6667,1,4,3,3,1,1,0,0.745382695734217,0.913213754830827,0.965150930114952,0.104547209655144,-0.739641264492481,0.018469217063132,-1.01362987031376,-0.616624837774205,1
"17","playoff_game","CAR","Martin.Gerber","20052006",2006-04-22,40.6,0.75,0.625,1,6,8,3,1,3,0,0.745382695734217,0.913213754830827,0.965150930114952,0.104547209655144,-2.30571003864662,0.527703825594698,-2.47309212324646,-1.67345900339677,1
"18","playoff_game","T.B","Sean.Burke","20052006",2006-04-23,0.2,NA,NA,NA,0,0,0,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0,0,0,0,0,1
"19","playoff_game","S.J","Vesa.Toskala","20052006",2006-04-23,26.8,1,1,1,1,3,7,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.243943489195336,0.260358735507519,0.254617304265783,1.69907357231785,0.758919528968638,2
"20","playoff_game","NSH","Chris.Mason","20052006",2006-04-23,26.8,1,1,1,2,1,8,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.278792559080384,0.086786245169173,0.509234608531566,1.95853749130102,0.874813412781123,2
"21","playoff_game","ANA","Jean-Sebastien.Giguere","20052006",2006-04-23,26.2,1,1,1,3,2,5,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.17424534942524,0.173572490338346,0.763851912797349,2.545808593651,1.11166975256093,1
"22","playoff_game","EDM","Dwayne.Roloson","20052006",2006-04-23,42.2,0.75,1,1,3,7,10,1,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.34849069885048,0.607503716184211,-0.236148087202651,1.02347819123039,0.71984632783204,2
"23","playoff_game","OTT","Ray.Emery","20052006",2006-04-23,43.2,0.6667,0.9091,1,5,11,13,2,1,0,0.745382695734217,0.913213754830827,0.965150930114952,0.453037908505624,-0.0453513031390971,-0.726913478671085,-0.443370657367442,-0.319226873304558,2
"24","playoff_game","T.B","John.Grahame","20052006",2006-04-23,43,0.8,0.8333,1,5,6,6,1,1,0,0.745382695734217,0.913213754830827,0.965150930114952,0.209094419310288,-0.479282528984962,0.273086521328915,0.00404429533149874,0.00289841165424076,2
"25","playoff_game","DET","Manny.Legace","20052006",2006-04-23,42.2,0.5,1,1,2,4,7,2,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.243943489195336,0.347144980676692,-1.49076539146843,-1.2791614999001,-0.899676921596406,2
"26","playoff_game","CGY","Miikka.Kiprusoff","20052006",2006-04-23,26.2,0.3333,0.5,NA,2,2,0,2,1,0,0.745382695734217,0.913213754830827,0.965150930114952,0,-0.826427509661654,-1.49076539146843,-5.30654862854219,-2.31719290113009,2
"27","playoff_game","BUF","Martin.Biron","20052006",2006-04-24,0.2,NA,NA,NA,0,0,0,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0,0,0,0,0,1
"28","playoff_game","MTL","David.Aebischer","20052006",2006-04-24,0.2,NA,NA,NA,0,0,0,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0,0,0,0,0,1
"29","playoff_game","MTL","Cristobal.Huet","20052006",2006-04-24,49.3,0.8,1,1,4,5,13,1,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.453037908505624,0.433931225845865,0.018469217063132,1.10195336886161,0.905438351414621,2
"30","playoff_game","NYR","Kevin.Weekes","20052006",2006-04-24,35.1,1,0.8333,1,2,6,7,0,1,0,0.745382695734217,0.913213754830827,0.965150930114952,0.243943489195336,-0.479282528984962,0.509234608531566,0.468197553405025,0.27389556874194,1
"31","playoff_game","N.J","Martin.Brodeur","20052006",2006-04-24,35.1,0.6667,1,1,2,4,6,1,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.209094419310288,0.347144980676692,-0.490765391468434,0.111921382082984,0.0654740085185459,2
"32","playoff_game","BUF","Ryan.Miller","20052006",2006-04-24,26.3,0.8333,1,0.75,5,4,4,1,0,1,0.745382695734217,0.913213754830827,0.965150930114952,-0.860603720459808,0.347144980676692,0.273086521328915,-0.548377684686391,-0.240372218454201,2
"33","playoff_game","CAR","Cam.Ward","20052006",2006-04-24,41.8,0.8333,0.6667,1,7,6,3,1,2,0,0.745382695734217,0.913213754830827,0.965150930114952,0.104547209655144,-1.47928252898496,0.782321129860481,-0.850355295889,-0.592414189469337,1
"34","playoff_game","COL","Jose.Theodore","20052006",2006-04-24,35,0.3333,1,1,1,3,4,2,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.139396279540192,0.260358735507519,-1.74538269573422,-2.3067903097483,-1.34562768068651,2
"35","playoff_game","PHI","Antero.Niittymaki","20052006",2006-04-24,18.3,0.6,1,1,3,1,4,2,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.139396279540192,0.086786245169173,-1.23614808720265,-3.31136249997799,-1.00996556249329,1
"36","playoff_game","CAR","Martin.Gerber","20052006",2006-04-24,7.6,0.5,0.5,1,2,2,5,1,1,0,0.745382695734217,0.913213754830827,0.965150930114952,0.17424534942524,-0.826427509661654,-0.490765391468434,-9.02327014503827,-1.14294755170485,2
